city,study_cell,control_cell,study_log_aadt,control_log_aadt,study_index,control_index
phoenix,c038_017,c040_011,9.808674889801193,9.750939998435218,3.1764694617475326,1.5290579028437281
phoenix,c039_016,c031_041,9.245806049873813,10.320123368646465,2.78154140117329,0.008521875458228325
portland,c023_025,c021_022,8.76795973673728,9.24198367279946,4.447117922971863,1.1519094128493865
portland,c025_020,c026_021,9.548794884496669,9.684198056649942,3.3844998020331274,2.8781573723079683
portland,c025_019,c016_021,9.999667592696035,9.116261744471085,4.000755169130956,2.8998719496696825
portland,c025_024,c028_022,9.310236627064668,9.093498364922317,6.219835700721012,0.9999234317922306
portland,c026_018,c024_019,9.243885150117089,9.425589972589657,4.088637709712093,3.1477309241614617
portland,c025_023,c028_021,9.410558910547639,9.539203776984454,5.073449652812133,1.3965861406298765
portland,c024_023,c022_020,8.895629627136483,9.596897524954505,5.933084000312924,1.5767598245494208
portland,c024_025,c028_023,9.56729251920972,9.910565814387505,5.297930553435349,2.2768688946638624
portland,c023_018,c021_019,9.15739043943463,9.645898162056328,4.277621088980404,0.6058945513079498
portland,c027_022,c023_010,9.865669159651627,8.580608365682414,3.6867395647608676,3.097270011813928
portland,c021_027,c028_020,9.293229068626422,9.300970587777885,3.4451805811467167,1.918311983021897
portland,c027_020,c023_019,9.425996420663065,9.747816248884789,3.6995463942160476,2.8432409782884385
portland,c025_018,c027_019,9.04747164151228,9.988359886201234,3.945356734096595,1.3264192416957905
portland,c026_022,c022_025,9.772498461638168,9.138326424600972,5.231509261000275,2.518463610132419
portland,c022_026,c025_025,9.006021482123472,9.602545393749107,3.7518980222433345,2.1612586225283312
portland,c027_023,c020_018,9.445207655429282,9.498167027466518,4.38634257208384,0.7442440329375991
portland,c026_019,c029_022,9.340636738253613,9.323205748646075,3.8034389794672783,1.5218458314051257
portland,c024_018,c029_023,8.935047799916799,9.873787911980015,5.391725073076159,0.8237649216809733
portland,c008_026,c021_021,8.909635750158188,8.32845106681936,4.344695616559305,0.87750191926436
portland,c021_026,c026_029,9.36679593522496,9.012052105341516,3.6567835618203794,2.751091970057139
portland,c022_018,c026_024,9.912403940823083,9.583903106981964,4.257837148048742,1.22743949263116
portland,c022_019,c027_030,9.470476602952777,7.5866351399639225,3.244489274177094,0.24777773205296943
portland,c002_027,c027_035,8.158478190553248,8.389110777835743,3.596598633931852,0.38109201673615617
wasatch_front,c014_051,c014_052,9.84256891544585,9.377853326267989,2.165058890900884,1.6479373522164877
wasatch_front,c011_054,c014_062,9.29412532526761,9.564083461014889,2.9167243640213796,0.3500495941718148
wasatch_front,c014_085,c012_052,9.319346673410623,9.524835655782324,2.408437645311574,1.621927522870692
wasatch_front,c018_016,c017_021,10.133235304428188,9.490614588280371,3.7459126647835626,0.7848833752291541
wasatch_front,c006_048,c018_017,9.283678461044664,9.753903143511259,1.8235345096820317,0.924476922849139
wasatch_front,c015_052,c010_055,8.94601934664049,9.277945656109264,1.871785721557947,0.43237126001353104
wasatch_front,c014_055,c019_017,8.220436586567939,9.87118641580858,4.826201194993676,0.47071607175846414
wasatch_front,c015_085,c013_050,10.05681380051044,9.81408327564256,2.010879653033174,0.1970819845196078
wasatch_front,c014_050,c015_051,9.734193705465794,8.992709762980976,1.9079915016103934,1.7076278411584151
wasatch_front,c012_051,c018_018,9.446448663253628,10.401386044954178,1.7933577710687088,-0.04834662628050107
wasatch_front,c012_053,c015_087,9.561455156564444,9.370021449504573,2.8702491113809363,0.8927960800462423
wasatch_front,c014_087,c007_048,8.983225974428036,9.7635538663369,1.894487040346484,0.4445651405080282
wasatch_front,c012_055,c011_052,9.325883030138407,9.21391011215087,2.3924346251738458,0.31333514341363006
wasatch_front,c013_027,c015_048,8.705206549838854,9.547706125461014,1.8254128737067083,0.263019205621582
wasatch_front,c018_008,c009_050,8.526022023633377,9.845185929361616,2.3344141385272352,-0.15655643810761405
wasatch_front,c018_007,c010_042,8.738889740926703,9.495613316509969,3.063822761121022,0.457748855014684
wasatch_front,c012_054,c012_085,9.380669618840502,9.868289183363865,3.3294305926638366,-0.12984366636999167
wasatch_front,c011_042,c008_050,9.688370583405169,9.880148178139912,2.786522222674284,1.0288021130196718
wasatch_front,c015_063,c016_021,9.370606881204635,9.381782218388128,2.4705027765243868,0.6248396364157877
wasatch_front,c015_053,c010_043,9.655480251809205,8.710389610627756,1.7851302727430964,0.10247534365264059
wasatch_front,c011_056,c017_016,9.25138888304971,9.337201671230517,1.8837092231249373,0.02050159125798035
wasatch_front,c016_025,c011_046,9.465574156460033,9.351060032747553,1.7951081484688047,0.43952049883485955
wasatch_front,c020_011,c015_076,8.750581285868147,10.580860978980033,2.127992418298588,-1.0588682119617352
wasatch_front,c016_053,c011_041,9.524633096015084,9.641401744662783,1.956269874493621,-0.005745146306118112
wasatch_front,c005_040,c009_081,9.289514036398852,9.403359950046449,1.8237078204501438,0.7225997969618576
wasatch_front,c011_028,c012_027,9.099770166978782,10.30716516218527,2.3604421253055485,0.619264370915871
wasatch_front,c006_045,c008_082,8.716312534904,9.968405481405805,2.1134214015953723,0.6631503862434855
wasatch_front,c004_040,c019_022,8.231412148220613,9.388131094379208,2.1652299587744865,-1.672689885970786
wasatch_front,c004_041,c004_045,7.794899119437029,9.567502918466294,2.687525598963332,0.7209003101566727
wasatch_front,c019_010,c009_039,6.214608098422191,9.994917216953784,2.035565498307709,-0.7224083984804162
wasatch_front,c012_063,c019_009,9.159993997539445,7.568791973761195,2.680440745734299,-0.1022642941840558
