check,city,beta_primary,se_primary,p_primary,beta_nolanes,se_nolanes,p_nolanes,beta_neither,se_neither,p_neither,pct_primary,pct_nolanes,pct_neither,corr_p1_len,corr_len_aadt,median_len_m,beta_base,beta_lenctrl,beta_lenFE,metric,n,beta_alone,p_alone,beta_given_p1,se_given_p1,p_given_p1,ci_lo,ci_hi,pct_lo,pct_hi,predictor,beta_raw,beta_per_sd,pct_per_sd,form,r2_full,unique_config,unique_controls,ratio,group,n_p1_0,n_p1_1,term,beta,se,p,n_routes,spec,pct,n_used,n_total
length,wasatch_front,,,,,,,,,,,,,0.01526268291042585,-0.055913369093857065,820.253278635784,-0.15381407777622208,-0.15588242741596742,-0.1589331076118029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p3_battery,,,,,,,,,,,,,,,,,,,,intersection density,35879.0,0.004464401687919212,0.4501958200290437,0.010167249938157432,0.005913461467838568,0.08555250826417853,-0.0014231345388061624,0.021757634415121026,-0.1422122363059386,2.1996057779150924,,,,,,,,,,,,,,,,,,,,,
p3_battery,,,,,,,,,,,,,,,,,,,,link–node ratio,35834.0,0.0025551550957004813,0.5602120629412466,0.006854636837219377,0.004388026201776518,0.11825900573939965,-0.0017458945182625982,0.015455168192701353,-0.17443713309985842,1.557521696527342,,,,,,,,,,,,,,,,,,,,,
p3_battery,,,,,,,,,,,,,,,,,,,,street density,35879.0,0.009585325056413638,0.14456246317178068,0.01748908816312087,0.006580662343893763,0.007868788831253562,0.004590989969089096,0.030387186357152644,0.46015447095917317,3.0853589140106497,,,,,,,,,,,,,,,,,,,,,
p3_battery,,,,,,,,,,,,,,,,,,,,dead-end share,35835.0,0.004952385914013267,0.25819989202223914,0.0012990583350463514,0.004378678763774277,0.7667122366748144,-0.007283152041951231,0.009881268712043933,-0.7256694161339339,0.9930249646046718,,,,,,,,,,,,,,,,,,,,,
p3_battery,,,,,,,,,,,,,,,,,,,,circuity,35825.0,0.0052935898095310165,0.24280029242310786,0.002847153318061557,0.004524929732913645,0.5292083597135555,-0.006021708958449188,0.011716015594572301,-0.6003614806516011,1.1784916925380529,,,,,,,,,,,,,,,,,,,,,
p3_battery,,,,,,,,,,,,,,,,,,,,PCA composite,35822.0,0.0003680869813868416,0.9423238952060095,0.006513931303915167,0.005097371918379871,0.2012847068048973,-0.0034769176561093807,0.016504780263939714,-0.34708801772149744,1.6641736590272904,,,,,,,,,,,,,,,,,,,,,
common_footing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P1 substitutability (binary),-0.12116669348193104,-0.03756109446974928,-3.6864426333852895,,,,,,,,,,,,,,,,,
common_footing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2 access connections (z),-0.020627113129061098,-0.020627113129061098,-2.0415829448851897,,,,,,,,,,,,,,,,,
common_footing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P3 intersection density (z),0.010167249938157432,0.010167249938157432,1.021911203977166,,,,,,,,,,,,,,,,,
variance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P1 binary,0.5463635652404388,0.0019699201011549317,0.0689282926607897,34.99040017936676,,,,,,,,,,,,
